Puerta del Sur;36.674598, -6.148914;
UPACE;36.670558, -6.146361;
Hospital FREMAP;36.668776, -6.139924;
El Portal;36.668673, -6.133135;
Parque Vallesequillo;36.673120, -6.123059;
Timanfaya;36.673991, -6.111673;
Rotonda 4;36.676500, -6.105080;
Rotonda 6;36.686520, -6.098702;
El Motorista;36.693174, -6.102772;
La Granja;36.697967, -6.106835;
La Pepa;36.703896, -6.113208;
Corte Inglés;36.705954, -6.115627;
Las Buganvillas;36.707089, -6.127925;
Circunvalación;36.702492, -6.141013;
Hospital;36.698378, -6.147179;
San Juan de Dios;36.694882, -6.151129;
Picadueñas;36.684334, -6.153594;
Cuatro Caminos;36.678085, -6.144173;
Puerta de Rota;36.682622, -6.145877;
Luis Vives;36.685754, -6.146918;
Santiago;36.687681, -6.143211;
La Plata;36.693309, -6.143216;
La Unión;36.696287, -6.139018;
Federico García Lorca;36.701136, -6.134938;
El Almendral;36.700425, -6.131372;
Hontoria;36.698208, -6.126153;
IFECA;36.696390, -6.123223;
Catavinos;36.688845, -6.127362;
Minotauro;36.681025, -6.128513;
Madre de Dios;36.679162, -6.129809;
San Telmo;36.676469, -6.133168;
Plaza del Carbón;36.678404, -6.139139;
Alameda Cristina;36.686439, -6.137228;
Sevilla;36.690274, -6.135773;
Feria;36.693461, -6.123295;
Medina Sidonia;36.677598, -6.124500;
Porvera;36.687515, -6.139826;
Diego de Cádiz;36.671585, -6.132599;
Ronda de San Telmo;36.673880, -6.132734;
Blas Infante;36.671600, -6.136369;
La Juventud;36.674890, -6.140642;
Consejo de Europa;36.676266, -6.142676;
Escuela de Arte Ecuestre;36.692384, -6.137085;
Duque de Abrantes;36.695548, -6.134038;
Donantes de Sangre;36.703329, -6.129738;
Plaza del Caballo;36.693667, -6.130783;
Av. Andalucía;36.701327, -6.121879;
Av. Europa;36.696700, -6.115899;
Av. La Granja;36.699165, -6.102161;
Villamarta;36.683079, -6.135293;
Arcos;36.684217, -6.129505;
Chapín;36.685513, -6.121049;
Universidad;36.686646, -6.115880;
Biarritz;36.689337, -6.110654;
Ciudad de los Niños;36.691788, -6.106244;
Almunia;36.695204, -6.099642;
Caulina;36.697031, -6.096168;
El Retiro;36.681603, -6.120652;
La Consolación;36.682970, -6.115877;
Las Delicias;36.683276, -6.111588;
La Pita;36.686561, -6.102007;
Cementerio;36.685539, -6.095484;
Vallesequillo;36.677388, -6.125071;
Moreno Mendoza;36.672465, -6.129003;
Azorín;36.675373, -6.137269;
Caparrós;36.671802, -6.143547;
La igualdad;36.671540, -6.139597;
Av. de Italia;36.667514, -6.149167;
Finlandia;36.671055, -6.150739;
Zoo;36.690559, -6.147645;
Rocio;36.692836, -6.149828;
Luz Shopping (i);36.695358, -6.160283;
Luz Shopping (ii);36.692442, -6.159749;
Area Sur;36.691656, -6.156625;
Plaza de las Marinas;36.697825, -6.136301;
Av. del Tamarix;36.704803, -6.133199;
Albariza;36.703494, -6.126243;
San José Obrero;36.705627, -6.106353;
Setefilla;36.704358, -6.102096;
Manuel F. Cruz;36.701956, -6.104285;
La Marquesa;36.691583, -6.097639;
Afanas;36.693876, -6.096284;
Ctra. Guadalcacín;36.700070, -6.097000;
Palacio Municipal de Deportes;36.693776, -6.116484;
Lola Flores;36.691039, -6.112184;
Olivar de Rivero;36.686809, -6.109660;
Av. Taginaste;36.688663, -6.103262;
Parque Atlántico;36.679035, -6.120409;
Club Nazaret;36.677560, -6.116265;
Av. Nazaret;36.676888, -6.110157;
La Canaleja;36.680259, -6.104761;
Plaza Macedonia;36.680679, -6.111479;
Tartessos;36.680035, -6.117464;
El Altillo;36.699854, -6.118912;
Pozo Albero;36.712420, -6.109855;
Gallo Azul;36.682600, -6.136780;
Arenal;36.681503, -6.138445;
Alameda Vieja;36.679909, -6.139698;
